"2025-08-26","2600913RBC PYT   MTG","3484.05",,"148.72"
"2025-08-29","MONTHLY ACCOUNT FEE","3.95",,"144.77"
"2025-09-02","E-TRANSFER ***qAc",,"1000","1144.77"
"2025-09-02","TD VISA      A2A3K2","144.77",,"1000"
"2025-09-08","ENBRIDGE GAS H7W2L9","46.3",,"953.7"
"2025-09-08","NIAGARA WT   H7W2Q3","386.12",,"567.58"
"2025-09-08","NIAGARA PEN  H7W2Q6","234.14",,"333.44"
"2025-09-08","E-TRANSFER ***XTD",,"550","883.44"
"2025-09-15","E-TRANSFER ***6Un",,"1670.18","2553.62"
"2025-09-15","TD VISA      K9A3J5","23.21",,"2530.41"
"2025-09-17","E-TRANSFER ***S4N",,"751","3281.41"
